comments,star
一条狗的使命是什么 身为一个狗狗 它会有使命感吗 这种我们所谓的拟人化的 使命 会不会是强加给它的呢 看过影片之后 我感觉狗狗天生并没有所谓的使命 它对人类的爱和陪伴 保护似乎都是与生俱来的品质 他没有被训练怎么去爱 相反 是它在用自己的爱和生命去感染着人类 因为有了狗狗的存在 人拥有了更多的爱 拥有了更好的生活 在人类的一生中 狗狗经历了好几个一生 但它依然无怨无悔的守候 让人感动满满 ,5
还是原来的配方 很好哭 ,4
这一家人真费狗啊,3
"7 7 10虽然导演换了 但影片质量基本没有下滑 节奏控制得不错 笑点和泪点也恰到好处 尤其是片尾 三生三世十里麦田 那一幕 真的让人情绪泛滥 影片的主题也从守护一个人上升到了守护一个家 总的来说挺值得一看 520档期首推的就是这部了 ",4
认出刘宪华的我 比认出贝利的伊森还震惊 ,3
参加了试映会 现在终于要上映了 宠物电影太容易获取眼泪 大华表演很不错,5
逻辑欠奉 于是整个就看得很煎熬了 但是不得不说Henry的表现让我很惊艳 刚看到他的时候还有些瞬间出戏 但是看着看着就完全让人投入在他的角色里了 很不错 ,3
CJ让贝利出了车祸它也不在乎 乔对它再好它也不稀罕 反正就是要抛弃乔 去追赶CJ  没人领养它它就会被安乐死 宁愿被安乐死也绝不做除了CJ之外任何人的宠物  现实中明明是主人离不开狗 电影却拍成了狗离不开主人 离开主人就活不下去  现实中明明是宠物是人类的一切 电影却拍成了主人是狗的一切 狗的使命就是一辈子陪伴主人 投胎转世也要陪伴主人  人类哪来的自信觉得自己是宇宙中心 宠物都围着自己转  第一部伊森和汉娜都是单身 顺理成章在一起  第二部CJ和特伦特都有男女朋友了 所以就先把巴里和莱瑟拍成渣男渣女 再让CJ和特伦特在一起  特伦特也很渣 都有女朋友了还带别的女生回家住 你和女朋友商量过吗  贝利真惨 6次投胎 7次狗生 永远摆脱不了这家人  愿贝利一路走好 下辈子不要再遇到这家人了 ,2
答应我 贝利  你下辈子不要在投胎成狗好么  就算是狗也不要去他家好么,3
以狗为视角的展开  一条狗的使命2 虽然只是延续了前作的固有套路 并没有多少新颖的看点 但这部电影却非常的清楚观众希望看到什么 一份纯粹质朴的爱 透过人宠之间陪伴与传承的缔结 仍旧成为了电影能去打动人心 暖人心田的所在 ,3
老实讲 很一般,3
5 15看的点映场 剧本过于煽情与浮夸 但能理解对猫狗有着转世期待的人看着会很温暖 整部片差不多就记得狗狗们和刘宪华了 ,3
刘宪华此生应该永远也不可能演到比这里更讨喜更占便宜的角色了 ,3
不喜欢CJ 蛮矫情的人 剧情其实也是 煽情又做作 母亲的转变 cj突然说爱以及屌丝的一生 以及刘宪华生硬的演技 都不太喜欢 但是狗狗们都很可爱 汉娜和伊森是真的爱狗狗的 我还是喜欢这个设定 真爱 ,3
"从my boy到my girl boss dog从来没有离开过 看到最后才发现男主是刘宪华 还在跟姐妹讨论这个男主有点帅  ",4
还是四平八稳的好莱坞叙述 像在田野上与狗嬉戏 飞盘扔出去 知道总会稳稳地被接回来 哪里该触动情绪 有点按部就班的规矩 可面对狗的忠诚与可爱 心中总有一块柔软的地方被反复摩挲 贝利与伊森真是最触动我的一对了 舍不得它们离去 看着眼神黯淡下去 真是伤感 希望它们在天堂找到了永恒的归宿 ,3
 6 0 10 如果你是一位平庸的导演 就去拍狗 男 女的爱情故事吧 如果你是一位实在糟糕的导演 就让这狗 男 女的爱情故事发生在纽约吧 尤以曼哈顿中央公园附近为佳  和第一部一样 还是那个用最无聊的电影作为媒介述说人类最普遍情感的作品 ,3
我想知道贝利的前世是哪位主人,3
影片讲述了带着记忆转生了几次的狗狗再次转生几次使第一部中主角的外孙女意识到幸福就在自己身边的故事  影片剧情稀烂 编剧脑袋有坑 唯一让我认同的是 三十亩地一头牛 老婆孩子热炕头 这种幸福观 ,2
我的世界有很多人 而你的世界只有我 ,4
美国New Age邪教电影还敢来第二部 ,1
做好了心理建设但是还是有哭 而且第二部的每一个笑点真的都有戳到我 狗狗实在是太可爱了 想养一只max   Trent和CJ的爱情太美好了 恋爱日常能再多拍一段就好了 突然就理解了他们两个人在采访里说的 看完电影我们都会感到爱 治愈与温暖 ,5
這一次眼眶泛淚  拍的比1好 part of the journey is the end,4
满足了部分人类狂妄的自我中心和自我陶醉 另外 如果影院里人不多 那么 在不搅扰他人的情况下这是一部十分适合一边玩手机一边观看的电影 ,1
跟Henry同场看点映 第二部的剧情也是延续的老套 但观众很吃 大家的情绪一起跟着剧中Trent的出现 故事情节的变迁 而安静喧闹 感觉很棒 Henry的映后KCON访谈说到一些拍摄过程中的细节 蛮用心的 ,5
甚至不如第一集 女主角婊里婊气 为什么车祸死的不是她 狗狗做错了神马,1
贝利内心OS 地球到底什么时候毁灭 我什么时候可以死透  赶紧的吧 累了 比本来就很一般的第一部都难看了许多 完全没有必要拍的续集 名副其实的 狗尾续貂  很明显的中国特供 可票房估计还达不到第一部的三分之一 ,2
嗯 套路还是第一部的套路 狗狗带来的温情还是很催泪 ,3
爱宠人士表示 就很好哭很温暖 在内核上延续了第一部的概念 贝利所有的转世轮回 都是因为对主人的守护与忠诚 演员和画面也不错 特别是在森林里的那些悸动 有点酸涩也很美好 ,5
片中唯一正常的人就是酗酒母亲 ,2
 人类失去狗狗就等于失去幸福  一条狗的使命 归根结底就是毫无保留的爱你 丹尼斯 奎德真的老了 于是第二部主要往年轻一代去引 刘宪华的华侨角色很养眼 就像看刘亚仁一样移不开视线 故事保留了第一部的叙事结构 只是对狗狗毫无抵抗力的情绪 最后却变成了廉价煽情 ,2
 一条狗的使命2  形式跟第一部没差 依然是一条狗的四重轮回 但这一部的每次轮回都是为了守护同一个女孩 这或许会更能体现狗狗的忠诚 但全片只有最后几分钟用力煽情 前面的轮回过程长短不均 除了狗很萌之外可看性在逐个降低 刘宪华造型反差很大 有帅呆的 也有剃了眉毛和头发吓呆的    ,3
还可以 比那个所谓的姐妹篇一条狗的回家路好看 ,4
好像是在知乎看的 问如果能问宠物一个问题 你会问什么 高赞回答 下辈子见面的暗号是什么 ,3
看片会 没看过第一部的情况下看得 贝利无论转多少世永远记得它的使命 狗狗真是太可爱了 并且太好哭了吧 有感同身受,5
如果有天走在街上 有条小狗突然跑过来亲你 求抱抱 千万别拒绝 因为它的上辈子 也许曾陪你一起走过 ,4
狗狗们真的好可爱 被片中可爱的狗狗融化了 它们贡献了相当多的笑点 当然还有泪点 感动于狗狗对人类的陪伴 突然觉得有条狗是很幸福的事呢 养狗的人应该能在影片里得到很多共鸣 大概看完会更爱自己的狗狗吧 另外 很感动刘宪华饰演的Trent与女主的相互扶持 Trent好有魅力 幸亏最后的结局没让人失望,5
延续第一部故事发展 只不过这次守护对象从伊森换成他孙女CJ 依旧有小温情小治愈  相比第一部 这部则差了很多 一中四段狗生 一切都让人觉得很自然 情感恰到好处 最后回到伊森身边更像是一种天意 而这部三次轮回明显多了刻意的感觉  尽管死去 投胎转世一次又一次 但从始至终只认伊森一家 看尽狗生百态 终于明白 其他 主人 都不是主人 心疼这些所谓的 主人   在CJ和特伦特各都有另一半的情况下 这狗居然还能拆散各自对方另一半 想方设法让他俩在一起 一中也促进了伊森和汉娜在一起 看来这狗还能在恋爱婚姻上带来好运 这样的狗请立马给我也来一条  我 洛基 阿斯加德王子 奥丁之子 约顿海姆的正统君主 诡计之神 狗老大兄弟 emmm不好意思走错片场了  PS 据说买彩票的时候身边有一条狗的话 你会有好运哦 ,3
原本预期不高 因为之前从宣传资料了解到 2延续了1的套路  比如继续是以狗狗作为主叙事视角 继续是不断的轮回与重逢  然而 形  式的相似并不等于内容的雷同 毕竟不同的人有不同的人生 不同的狗有不同的 狗生   这次是围绕着主人伊森的孙女的成长及家庭关系展开 更注重表现人与狗  的相陪相伴 战胜了孤单 也战胜了人生中一个个不如意的坎 所传达出的阵阵温暖着实令人动容 尽管知道是电影刻意营造的Happy Ending 也依旧让人泪目 同时   影片结尾也承接了上一部 唤醒记忆情怀 也较好地表达了爱的传承主题 至于该片中那些 狗眼看人心 而让人忍俊不禁的笑料 也比1有过之而无不及 不足之处  就是续集整体结构的严谨性不如1   ,3
很完整 family friendly 好像在聽兒童故事書 每次生死離別都沒有太多鋪排 像趕著講下一個情節 愛狗之人一定會喜歡這部戲 我也喜歡可愛的狗狗 但沒有感動到    Henry第一次拍Hollywood studio電影 恭喜恭喜 ,3
程式不变 情感仍在的蜜糖片儿 虽说有些 为赋新词强说愁  但是恐狗症如我看到几次越背的跳跃都被感动了 很喜欢上一部的演员和故事 尤其是想到上一部饰演Hannah的Peggy离开人世更是百感交集  所以故事前半段还是熟悉的感动和温暖 但是年轻一代的男女主都很不喜欢 导致后面的故事也变得很难看     CJ 从MTV那部 寻找卡特 就是这张麻将脸 另外一个就   更不说了 ,3
看到大华那个瞬间我真的惊呆了  狗狗很可爱  剧情一般,3
嘤 想养条狗 然后让他帮我找对象  ,4
刘宪华欧巴比四只狗子加一块儿都可爱,2
换了导演之后 风格也很明显的变了 第一部的有些梗第二部没了 比如说恋爱的酸臭味 为了创造一个信物居然让狗狗听力也变得很厉害有点牵强 节奏前面有点慢  后面还好 不愧是 老友记 的导演 对于人与人之间的情感描写还是很好的 有点理解里面妈妈的情绪 不过没有第一部好哭了  但是还是不错的 要是电影院氛围可以 应该会有人一起笑一起哭 BTW大华的光头造型看了我笑出声哈哈哈为什么  哈哈哈哈哈哈,4
原著党的我 洛杉矶看过 国外反响很好 回国又点映看一遍 哭成 当然有泪也有笑  就不剧透了 自己去影院感受 整个故事走向温暖治愈 生命有轮回 我觉得是一件很美的事情 ,5
从无到有 任何生物从来到这个世界可以说记忆都是平等的 但当被赋予无法忘记的时候 记忆有时候和诅咒并无区别 心疼贝利三千次  ,2
工作卡 我没看过1 我觉得轻松治愈OK,4
我的关注点比较特别 格洛丽亚在自己还很年轻 对于抚养一个孩子完全没准备好的情况下生了CJ 以至于对她的抚养责任非常模糊 像CJ说的 几乎每天晚上都不在家 她害怕打雷的时候也不在 对CJ的关爱也很不足够 就觉得 生孩子这事真的太需要成熟和责任心 如果没有你就别生 而生了又无暇照顾 那就 马薇薇口吻 养条狗啊 ,2
一世学会了叼橄榄球 一世学会了嗅出癌症 一世寂寞平淡 一世守护轮回 伊桑认出了那是他的贝利贝利贝利 不管它是大是小 是公是母 守护的是一个诺言 付出的是几个轮回 无论是在窗台边 在便利店 在电梯里 对别人凶却偏偏对你投缘 人的一生狗的四世 你的旅途还很远 它到了终点 仍约定陪伴 ,2
CJ的嘴好出戏,2
我们狗粉的眼泪不值钱阿 大华真的是不同以往综艺里的样子 演了一个大暖男 天使狗子真的可爱 为什么我们柴柴不能出演 ,5
还不错 居然get 到了刘宪华的帅 book思议 贝利很可爱 想念伊森 不喜欢强行煽情 我没哭 ,3
看到Ethan和Bailey在一起的镜头就鼻酸,4
CJ和那个小竹马好婊好渣,3
还是熟悉的狗转世配方 还是熟悉的催泪味道 延续了前作套路 ,3
